"Category","Brand_Description","Price","Review_Count","Rating"
"Keychain"," Mini Keychain Calculator for Kids Pocket Calculator Key Ring Tiny Clear Flip Small Portable Calculator 8 Digit Electronic Cute Basic Calculator Keychain for Students School Office(24)  4.7 out of 5 stars 9  $25.99$25.99 FREE delivery Mon, Feb 12 on $35 of items shipped by Amazon","25.","9","4.7 out of 5 stars"
"Keychain"," Green Laser Pointer, Long-Range high-Power Laser Pointer, Adjustable Mode, 2000 Meters Handheld Laser Pointer, Suitable for Camping, Hiking, Emergency, USB Charging  4.4 out of 5 stars 154  700+ bought in past month$9.99$9.99 List: $12.99$12.99 FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","9.","154","4.4 out of 5 stars"
"Keychain"," TOYANDONA 2pcs Mini Calculator Keychain Portable Cute Cartoon Calculator Electronic Pocket Calculator with Key Ring for Children Students School Supplies Key Decor (Pink)  4.7 out of 5 stars 15  $6.39$6.39 Typical: $9.69$9.698% coupon applied at checkoutSave 8%  with coupon  FREE delivery Tue, Feb 13 on $35 of items shipped by Amazon","6.","15","4.7 out of 5 stars"
"Keychain"," NUOBESTY 3pcs Pocket Calculator Key Ring Tiny Small Portable Mini Electronic Calculator for Kids Home Students School (Random Color)  4.0 out of 5 stars 182  50+ bought in past month$10.69$10.69 FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","10.","182","4.0 out of 5 stars"
"Keychain"," Mini Calculator, Mini Portable Cute Cookies Style Key Chain Calculator Candy Color Pocket Calculator for Keyring Decoration()  3.8 out of 5 stars 9  $7.63$7.63 FREE delivery Mon, Feb 12 on $35 of items shipped by AmazonOnly 8 left in stock - order soon.","7.","9","3.8 out of 5 stars"
"Keychain"," 8 Digits Pocket Mini Electronic Calculator Keychain Key Ring for Home School Office Supply Purple  5.0 out of 5 stars 1  $6.99$6.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOnly 2 left in stock - order soon.","6.","1","5.0 out of 5 stars"
"Keychain"," fosa Mini Portable Cute Cookies Style Key Chain Calculator for Kids Children Gift, Candy Color Pocket Standard Function Calculator for Girls Boys(Green)  4.2 out of 5 stars 2  $8.09$8.095% coupon applied at checkoutSave 5%  with coupon FREE delivery Feb 28 - Mar 20 Only 1 left in stock - order soon.","8.","2","4.2 out of 5 stars"
"Keychain"," TOYANDONA 2pcs Mini Calculator Keychain Portable Cute Cartoon Calculator Electronic Pocket Calculator with Key Ring for Children Students School Supplies Key Decor (Black)  4.1 out of 5 stars 23  $10.89$10.8910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 Only 12 left in stock - order soon.","10.","23","4.1 out of 5 stars"
"Keychain"," NUOBESTY Brain Toy 2pcs Mini Electronic Calculator Keychains, 8 Digits Flip Calculator with Key Ring Portable Calculator Hanging Pendant for Home School Office Kids Calculator  4.8 out of 5 stars 6  $7.69$7.69 Typical: $8.19$8.19 FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","7.","6","4.8 out of 5 stars"
"Keychain"," Cute Kitty Pocket Calculator, Mini Cartoon Electronic Basic Calculator Keychain, Kids Calculator for School Office Desktop(JSJ KLM)  $13.39$13.39 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOnly 7 left in stock - order soon.","13.","Only 7 left in stock - order soon.",""
"Keychain"," NUOBESTY 3pcs Mini Calculator Keychain Portable Pocket Electronic Calculator  4.3 out of 5 stars 7  $8.99$8.995% coupon applied at checkoutSave 5%  with coupon  FREE delivery Mon, Feb 12 on $35 of items shipped by Amazon","8.","7","4.3 out of 5 stars"
"Keychain"," 3 Packs Mini Calculator Keychain Tiny Calculator Student Calculator for Student Kids School Home Office Desktop Accounting Tools, Creative Cartoon Small Calculator(Random Colors)  $8.99$8.99 FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 Only 16 left in stock - order soon.","8.","Only 16 left in stock - order soon.",""
"Keychain"," 3 Pack Mini Student Calculator, Creative Cartoon Keychain Calculator, Mini Colorful Calculator for Student Kids School Home Office Desktop Accounting Tools (Random Colors)  3.0 out of 5 stars 2  $8.99$8.99 FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","8.","2","3.0 out of 5 stars"
"Keychain"," 30 Pack Pocket Calculator,Mini Calculator Pocket Size,8 Digit Display Basic Calculator,Battery Powered Mini Calculators,4 Function Calculator for Students Kids Home Office,6 Colors  2.5 out of 5 stars 2  50+ bought in past month$21.39$21.39 List: $22.99$22.99 FREE delivery Mon, Feb 12 on $35 of items shipped by Amazon","21.","2","2.5 out of 5 stars"
"Keychain"," Calculators Mini Pocket Basic Calculator Electronic Calculator with Bag Charm Keychain Creative Adorable Convenient Digital Desktop Calculator for Kids Students School Random Color  4.1 out of 5 stars 6  $0.22$0.22$1.99 delivery Feb 20 - Mar 4 Or fastest delivery Feb 12 - 15 ","0.","6","4.1 out of 5 stars"
"Keychain"," Rechargeable Presentation Clicker with Red Laser Pointer, Wireless Presenter Remote for PPT Clicker, 2.4GHz Powerpoint Clicker Slide Advancer Presentation Remote for Mac/Computer/Laptop/Keynote  Usb4.1 out of 5 stars 12  $12.99$12.99 Typical: $15.99$15.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","12.","Usb","4.1 out of 5 stars"
"Keychain"," 4pcs Telescopic Teachers Pointer, Pointer Sticks with Lanyard, Extendable Hand Pointer Finger Pointing Sticks, Retractable Whiteboard Pointer for Teachers Speakers Classroom Presentation  4.6 out of 5 stars 5  50+ bought in past month$8.99$8.99 FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","8.","5","4.6 out of 5 stars"
"Keychain"," STOBOK Children Toys 2Pcs Mini Calculator Keychain Cartoon Key Chain Cute Cartoon Calculator Electronic Pocket Calculator with Key Ring for Children Students School Supplies  $7.99$7.99 FREE delivery Tue, Feb 13 on $35 of items shipped by AmazonOnly 1 left in stock - order soon.","7.","Only 1 left in stock - order soon.",""
"Keychain"," Smart Google Review Keychain for Instant Customer Feedback-Tap Tag Keychain- NFC Tap-to-Share Digital Contact Card, tap- Direct Google Review Link  $19.99$19.99 FREE delivery Tue, Feb 13 on $35 of items shipped by Amazon","19.","",""
"Keychain"," Mini Calculator, Portable Cute Cookies Style Pocket Key Chain Calculator, Candy Color Digits Electronic Calculator with Silicone Buttons, 2 in 1 Calculator Key Chain  4.1 out of 5 stars 34  $7.99$7.995% coupon applied at checkoutSave 5%  with coupon  FREE delivery Mon, Feb 12 on $35 of items shipped by AmazonMore Buying Choices$7.19(3 used & new offers)","7.","34","4.1 out of 5 stars"
"Keychain"," Pocket Calculator Cartoon Keychain Stationary Mini Calculator Green Keychain Calculator for Key Chains for Mini Keychain Keychains for Keychain for Biscuit Student Taste PVC  $7.89$7.89Save 5% at checkoutFREE delivery Feb 16 - 28 Price may vary by color","7.","Price may vary by color",""
"Keychain"," TOYANDONA 2pcs Mini Calculator Keychain Portable Cute Cartoon Calculator Electronic Pocket Calculator with Key Ring for Children Students School Supplies Key Decor (Grey)  3.8 out of 5 stars 33  $11.29$11.29 FREE delivery Sun, Feb 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 9 ","11.","33","3.8 out of 5 stars"
"Keychain"," Calculator Keychain Cat Shape Mini Portable Calculator Entertainment Maze Design Keychain Pink  $2.19$2.19$1 delivery Feb 20 - Mar 4 Or fastest delivery Feb 12 - 15 ","2.","",""
"Keychain"," 3Pcs Keychain Calculator Mini Calculator Pocket Size Kawaii Cute Calculator with Key Ring Tiny Small Electronic Calculator for Home Office (Random Color)  $4.74$4.74 Typical: $6.71$6.71 FREE delivery Mon, Feb 12 on $35 of items shipped by AmazonOnly 9 left in stock - order soon.","4.","Typical: ",""
